path,provenance,lifecycle_status,disposition,comparable,comparability_reason,comparison_key,environment,observation_mode,seed,budget_train_steps,eval_every,eval_episodes,eval_metric,git_commit,git_dirty,config_sha256,manifest_run_id,train_step,best_score,best_step,stop_reason,checkpoint_count,checkpoint_bytes,run_bytes,frame_multiplier,frame_semantics
experiments/2026-07-18_210719_CartPole-v1,manifest,interrupted,review,False,run did not record completed lifecycle,,CartPole-v1,vector,1,5000,1000,20,episode_reward,baf584634e48661f26d37e53b5e8c9463a8886f2,False,cef5b13303826c4d60125a3589b328e805ab4108cbd89d8e50de662fa10eaa3e,bd265f62bb434bda9ab5d5aaa54f7db3,0,11.25,3000,,5,81304747,81321802,1,environment steps per recorded action
experiments/2026-07-18_212048_CartPole-v1,manifest,interrupted,review,False,run did not record completed lifecycle,,CartPole-v1,vector,1,5000,1000,20,episode_reward,32f27af7ee7fca8b4c36d1844906022feab09f5c,False,05ababb037a4dd882d1fd79cc00850b20d29f618ccdbc092032823f29dcd0565,dfc8881d4a154abb8345b017e37ec1d2,0,28.35,3000,,5,81304747,81321923,1,environment steps per recorded action
experiments/2026-07-18_213401_CartPole-v1,manifest,completed,keep,True,,24ab03309e6f8015,CartPole-v1,vector,1,3000,1000,20,episode_reward,c76d60dc98458d2f98200747ef40863a452d713d,False,a00de408dd685238201f1959fab4c6cdb6c4731e862b4478b702a3f534076363,25e601f094ef485590039dc50e1151e9,3000,9.65,1000,max_train_steps,5,85125391,85140970,1,environment steps per recorded action
experiments/2026-07-19_144821_CartPole-v1,manifest,completed,keep,True,,7cdfb2038d8be9ae,CartPole-v1,vector,1,3000,1000,20,episode_reward,8bd2ad9226e40f018668615ed187ce26e7c4c43d,False,f341507c9d17d936821e26cf10d692045915bc1fb33586438cd8c0707cb8fdf0,916144d4fe7a4ec6a4f8ab09bfebe000,3000,16.65,2000,max_train_steps,5,85125391,85140562,1,environment steps per recorded action
experiments/2026-07-19_151553_CartPole-v1,manifest,completed,keep,True,,96fecb7942c49ebd,CartPole-v1,vector,1,3000,1000,20,episode_reward,41a0076ebad07b302304438422a9128ca11f4c6a,False,303326c88d7d009541172d2a31fa4914b90b2ed0071c348aac9c2d644298eca2,51802dcc64434a5b88a7cc54cbc19da4,3000,16.65,1000,max_train_steps,5,85125391,85140592,1,environment steps per recorded action
experiments/2026-07-19_152823_CartPole-v1,manifest,completed,keep,True,,020c778160feb5d6,CartPole-v1,vector,1,3000,1000,20,episode_reward,41a0076ebad07b302304438422a9128ca11f4c6a,False,6991415f76a7e25f6c56700fba971a16f4a98f6316d5062576558055d4c7c390,83516a92d8d0480e86b1bcda2930d607,3000,9.45,1000,max_train_steps,5,85125391,85140666,1,environment steps per recorded action
experiments/2026-07-19_154109_CartPole-v1,manifest,completed,keep,True,,795e318e052f03d8,CartPole-v1,vector,1,3000,1000,20,episode_reward,41a0076ebad07b302304438422a9128ca11f4c6a,False,e4bb94464756b86d9189bc932b5888c96d12aa13cf95f05ab2c230a616606054,808dfa86ba40431084a04ac6f3d1f66d,3000,11.45,2000,max_train_steps,5,85125391,85141182,1,environment steps per recorded action
experiments/2026-07-19_155514_CartPole-v1,legacy,incomplete,incomplete,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,CartPole-v1,vector,1,3500,100,20,episode_reward,,,8ef8eb26c77bed3d8f10942efe84e7157345d722fd78c0dfc00fec786a9aef98,,,,,,0,0,10649,1,environment steps per recorded action
experiments/2026-07-19_155543_CartPole-v1,manifest,completed,keep,True,,21374fef8cceb5ec,CartPole-v1,vector,1,3500,100,20,episode_reward,ca9b9e7d45d0b4949d5167f7609617297e03d383,False,2ee202f7039ff0f90de09f8cc3cb06a212abcc3784b5c8169a38246f602f6cbd,ba7e5312fc7a420d9658943b4d27af40,3500,28.3,3500,max_train_steps,7,125657465,125670374,1,environment steps per recorded action
experiments/2026-07-19_160309_CartPole-v1,manifest,completed,keep,True,,2e7398d592d08386,CartPole-v1,vector,1,3000,1000,20,episode_reward,a82cf7e816dc1f9b62c568b5b99d571b79de4a8b,False,0315ebfc4b91075e9f53a188142757e25fbb7dc747f02ccc916ac408c9351a99,d0876130a0df4ca999f9094a450c1faf,3000,44.05,3000,max_train_steps,5,85125391,85140902,1,environment steps per recorded action
experiments/2026-07-19_161541_CartPole-v1,manifest,completed,keep,True,,178b335d1d47d4a7,CartPole-v1,vector,1,3500,100,20,episode_reward,a82cf7e816dc1f9b62c568b5b99d571b79de4a8b,False,d52e6475dbf4f7da0d248966a70abba4aaed4ebb6fe24659f9e4216f3bac8ccf,207c238918844b39ae2e1cfb6b1d8a57,3500,481.0,3400,max_train_steps,7,125657465,125670350,1,environment steps per recorded action
experiments/2026-07-19_cartpole_budgeted_no_advnorm_seed0_3500,manifest,interrupted,review,False,run did not record completed lifecycle,,CartPole-v1,vector,0,3500,100,20,episode_reward,d3dcffd2dbb6065d4ad3bad0b9f1e9638157bfe5,False,7c21455c3404770932d33bca9cd441e974a9a195ac893964821472b6995a0104,c42a57d90ac94fa6b7114eaf9f98bfd9,0,457.75,3200,,7,120102753,120118824,1,environment steps per recorded action
experiments/2026-07-19_cartpole_budgeted_no_advnorm_seed1_3500,manifest,completed,keep,True,,1433f6b83663b9eb,CartPole-v1,vector,1,3500,100,20,episode_reward,d3dcffd2dbb6065d4ad3bad0b9f1e9638157bfe5,False,deab4516c7d63719319685a4a4451ce0b03300f1138644435b4bf3de4456e38b,7a2aebdda55a4bb0adf1bef4e6c41fed,3500,451.7,3300,max_train_steps,9,156004135,156020249,1,environment steps per recorded action
experiments/2026-07-19_cartpole_budgeted_v2_no_advnorm_seed0_3500,manifest,interrupted,review,False,run did not record completed lifecycle,,CartPole-v1,vector,0,3500,100,20,episode_reward,a2e7890c3ea5c8d6e9246148d8ea2ba971831323,False,d2339126636d8c9e16134f5820cbee3aa3de94de56e6018dfb0bd10393919108,79dbd30cdc5a47e1b563695309110bfb,0,,,,0,0,22551,1,environment steps per recorded action
experiments/2026-07-19_cartpole_budgeted_v2_no_advnorm_seed1_3500,manifest,interrupted,review,False,run did not record completed lifecycle,,CartPole-v1,vector,1,3500,100,20,episode_reward,a2e7890c3ea5c8d6e9246148d8ea2ba971831323,False,c227cc413567ef09dba88f95281fae056744f8f91ec015c954e0c9eaee10cef7,d0dcef33a41b4206adf4c377acdfe5e8,0,,,,0,0,21505,1,environment steps per recorded action
experiments/2026-07-19_cartpole_budgeted_v3_no_advnorm_seed0_3500,manifest,completed,keep,True,,90fdb62f52194187,CartPole-v1,vector,0,3500,100,20,episode_reward,a2e7890c3ea5c8d6e9246148d8ea2ba971831323,False,7510aa84c50fa544c8c54a4aa396a22e5036b8f772072c6856311a32426e57e9,10669a35671346c0a6fdfc5ee6ee4eef,3500,338.7,3500,max_train_steps,9,156004135,169177476,1,environment steps per recorded action
experiments/2026-07-19_cartpole_budgeted_v3_no_advnorm_seed1_3500,manifest,completed,keep,True,,e0af60ec8eb4e32c,CartPole-v1,vector,1,3500,100,20,episode_reward,a2e7890c3ea5c8d6e9246148d8ea2ba971831323,False,f24d1eac4e5b8b022fc6bd1a41449d46e5425fe17bcd2e88362f42356a452f25,8810c6e7f6664261af1f04da86e58fa9,3500,398.15,3500,max_train_steps,9,156004135,173853300,1,environment steps per recorded action
experiments/2026-07-19_cartpole_laprop_actor6e5_seed0_3500,manifest,completed,keep,True,,987d6d39f627be73,CartPole-v1,vector,0,3500,100,20,episode_reward,44282b2203467f92d00cf81232f50c47650fd4b0,False,d95d9529e9126cdd94b9c8e4e091d71c7317208809deb950a391c1eaea1da3d5,79cad834dd034241b1ae4c39cf2d4ce6,3500,402.2,3100,max_train_steps,9,156004135,156020145,1,environment steps per recorded action
experiments/2026-07-19_cartpole_laprop_actor6e5_seed1_3500,manifest,completed,keep,True,,24ae7a62b2ee8087,CartPole-v1,vector,1,3500,100,20,episode_reward,44282b2203467f92d00cf81232f50c47650fd4b0,False,8d1ef969319c419478c7218109d8264eaa65a28d8edae5f4e1f8f58d71d90073,55667e93222943058d5da42927549b96,3500,340.1,3200,max_train_steps,9,156004135,156020193,1,environment steps per recorded action
experiments/2026-07-19_cartpole_laprop_corrected_seed0_3500,manifest,completed,keep,True,,195defa178b9e7f3,CartPole-v1,vector,0,3500,100,20,episode_reward,44282b2203467f92d00cf81232f50c47650fd4b0,False,23e37bec9b23be3f2d3ced1791af93e5d700b4ec88eac657ef562183f1f51c86,3a0f2f9ca0b2417d838dc73eaa0b3f70,3500,321.5,3300,max_train_steps,9,156004135,156020078,1,environment steps per recorded action
experiments/2026-07-19_cartpole_laprop_corrected_seed1_3500,manifest,completed,keep,True,,e2994c4464f1db2c,CartPole-v1,vector,1,3500,100,20,episode_reward,44282b2203467f92d00cf81232f50c47650fd4b0,False,1c3f58c5f34ad460cd9a57910ac4cc2ae55ae17bd3fb075276f3f9303f51635f,4735f1f5a0e54508b915ae364c728217,3500,178.65,3200,max_train_steps,9,156004135,156020247,1,environment steps per recorded action
experiments/2026-07-19_cartpole_no_batch_advnorm_seed0_3500,manifest,completed,keep,True,,f478d81404c2176f,CartPole-v1,vector,0,3500,100,20,episode_reward,0fa59e5e1bc2e6934140577b83940cf2480224ef,False,8ed3d6b2d4bf79f33f29c20bb7f5beda32d3e14388ad10847e552fab1b6ffeae,4eee28918f5e4e028dbe02f7d7775268,3500,366.25,3200,max_train_steps,9,156004135,156020379,1,environment steps per recorded action
experiments/2026-07-19_cartpole_no_batch_advnorm_seed1_3500,manifest,completed,keep,True,,2e3ef315efb5d4f9,CartPole-v1,vector,1,3500,100,20,episode_reward,0fa59e5e1bc2e6934140577b83940cf2480224ef,False,8c49dd3fee97c945af18b3d9c4e8c8f490bfecd68fb6793fd1f71f9d43c8db6c,493f21502b164d90b119de48ed54a23d,3500,331.6,3300,max_train_steps,9,156004135,156020269,1,environment steps per recorded action
